id,nama_makanan,deskripsi,kategori,kalori,status_kesehatan,jenis,keterangan_kalori
2,Gado-Gado,"Sayuran rebus disiram saus kacang, kadang ditambah lontong.",makanan,250,sehat,makanan berat,Sedang
6,Soto Ayam,"Sup ayam berkuah kuning dengan bihun, telur, dan emping.",makanan,300,sehat,makanan berat,Sedang
11,Tahu Gejrot,"Tahu goreng kecil dengan bumbu kuah manis pedas.",makanan,180,sehat,makanan ringan,Rendah
17,Getuk,"Olahan singkong manis warna-warni.",makanan,190,sehat,cemilan,Rendah
23,Asinan Betawi,"Sayuran segar dalam kuah cuka manis asam.",makanan,200,sehat,makanan ringan,Rendah
30,Sayur Asem,"Sup asam segar dengan kacang panjang, jagung, melinjo.",makanan,150,sehat,makanan berat,Rendah
31,Rujak Buah,"Buah segar disajikan dengan bumbu kacang pedas.",makanan,180,sehat,cemilan,Rendah
33,Tempe Goreng,"Tempe kedelai yang digoreng renyah.",makanan,250,sehat,makanan ringan,Sedang
43,Lemper,"Olahan ketan isi ayam suwir atau abon.",makanan,220,sehat,cemilan,Rendah
50,Nasi Pecel,"Nasi dengan sayuran rebus dan sambal kacang.",makanan,340,sehat,makanan berat,Sedang
54,Lontong Balap,"Lontong dengan tauge, lentho, dan sambal petis.",makanan,250,sehat,makanan berat,Sedang
55,Sate Lilit,"Sate khas Bali dari ikan cincang berbumbu, dililitkan ke serai.",makanan,220,sehat,makanan berat,Rendah
57,Karedok,"Sayuran mentah disiram saus kacang khas Sunda.",makanan,180,sehat,makanan ringan,Rendah
62,Sayur Bayam,"Bayam kuah bening dengan jagung dan wortel.",makanan,150,sehat,makanan ringan,Rendah
65,Wedang Jahe,"Minuman jahe hangat tradisional Jawa.",minuman,100,sehat,minuman,Rendah
71,Bubur Ayam,"Bubur nasi dengan suwiran ayam, cakwe, dan kerupuk.",makanan,290,sehat,makanan berat,Sedang
73,Nasi Lengko,"Nasi dengan tahu, tempe, dan tauge khas Cirebon.",makanan,300,sehat,makanan berat,Sedang
75,Puding Santan,"Puding lembut dari santan dan gula aren.",makanan,200,sehat,cemilan,Rendah
80,Sambal Ijo,"Sambal dari cabai hijau, tomat, dan bawang.",makanan,120,sehat,makanan ringan,Rendah
